sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-314_rna_seq_21H5_WT_RED_Col0_1g_Rep1	OSD-314	control_gravity	0	6.8073983	18.672777	0
GLDS-314_rna_seq_22A6_WT_RED_Col0_1g_Rep2	OSD-314	control_gravity	0	6.8348804	19.008785	0
GLDS-314_rna_seq_23B6_WT_RED_Col0_1g_Rep3	OSD-314	control_gravity	0	6.4726124	18.793041	0
GLDS-314_rna_seq_30H7_WT_DARK_Col0_1g_Rep1	OSD-314	control_gravity	0	6.525754	18.30754	0
GLDS-314_rna_seq_31A8_WT_DARK_Col0_1g_Rep2	OSD-314	control_gravity	0	6.0953946	18.698486	0
GLDS-314_rna_seq_32B8_WT_DARK_Col0_1g_Rep3	OSD-314	control_gravity	0	6.7135463	18.36404	0
GLDS-314_rna_seq_05G4_WT_RED_Col0_03g_Rep1	OSD-314	mars_gravity	1	6.6238203	21.207407	2
GLDS-314_rna_seq_06H4_WT_RED_Col0_03g_Rep2	OSD-314	mars_gravity	1	6.3654246	21.558626	1
GLDS-314_rna_seq_07A5_WT_RED_Col0_03g_Rep3	OSD-314	mars_gravity	1	6.6279745	21.232342	2
GLDS-314_rna_seq_13I4_WT_DARK_Col0_03g_Rep1	OSD-314	mars_gravity	1	5.7790947	20.724846	1
GLDS-314_rna_seq_14J4_WT_DARK_Col0_03g_Rep2	OSD-314	mars_gravity	1	6.2244124	20.947517	1
GLDS-314_rna_seq_15A7_WT_DARK_Col0_03g_Rep3	OSD-314	mars_gravity	1	7.16068	21.335966	2
GLDS-314_rna_seq_JBA1_WT_DARK_Col0_0g_Rep1	OSD-314	microgravity	1	7.4737196	21.693964	2
GLDS-314_rna_seq_JBB1_WT_DARK_Col0_0g_Rep2	OSD-314	microgravity	1	5.5800953	21.434788	1
GLDS-314_rna_seq_JBH2_WT_RED_Col0_0g_Rep1	OSD-314	microgravity	1	6.708926	21.75208	2
GLDS-314_rna_seq_JBA3_WT_RED_Col0_0g_Rep2	OSD-314	microgravity	1	6.410189	20.669825	2
GLDS-314_rna_seq_JBB3_WT_RED_Col0_0g_Rep3	OSD-314	microgravity	1	5.2899523	22.340271	1
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13_GLbulkRNAseq	OSD-120	ground_control	0	6.3425674	20.058352	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	ground_control	0	5.7448153	20.014582	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13_GLbulkRNAseq	OSD-120	ground_control	0	4.9084177	20.726246	1
