sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-314_rna_seq_21H5_WT_RED_Col0_1g_Rep1	OSD-314	control_gravity	0	26.60629	-8.993417	2
GLDS-314_rna_seq_22A6_WT_RED_Col0_1g_Rep2	OSD-314	control_gravity	0	26.945124	-8.90986	2
GLDS-314_rna_seq_23B6_WT_RED_Col0_1g_Rep3	OSD-314	control_gravity	0	26.436275	-8.546123	2
GLDS-314_rna_seq_30H7_WT_DARK_Col0_1g_Rep1	OSD-314	control_gravity	0	26.183336	-8.803731	2
GLDS-314_rna_seq_31A8_WT_DARK_Col0_1g_Rep2	OSD-314	control_gravity	0	26.195015	-8.543274	2
GLDS-314_rna_seq_32B8_WT_DARK_Col0_1g_Rep3	OSD-314	control_gravity	0	26.099361	-8.619828	2
GLDS-314_rna_seq_05G4_WT_RED_Col0_03g_Rep1	OSD-314	mars_gravity	1	26.641012	-9.164696	2
GLDS-314_rna_seq_06H4_WT_RED_Col0_03g_Rep2	OSD-314	mars_gravity	1	26.62166	-8.984765	2
GLDS-314_rna_seq_07A5_WT_RED_Col0_03g_Rep3	OSD-314	mars_gravity	1	26.512407	-8.74426	2
GLDS-314_rna_seq_13I4_WT_DARK_Col0_03g_Rep1	OSD-314	mars_gravity	1	26.185057	-9.064148	2
GLDS-314_rna_seq_14J4_WT_DARK_Col0_03g_Rep2	OSD-314	mars_gravity	1	26.189747	-9.149902	2
GLDS-314_rna_seq_15A7_WT_DARK_Col0_03g_Rep3	OSD-314	mars_gravity	1	26.289373	-8.991736	2
GLDS-314_rna_seq_JBA1_WT_DARK_Col0_0g_Rep1	OSD-314	microgravity	1	25.95071	-8.519303	2
GLDS-314_rna_seq_JBB1_WT_DARK_Col0_0g_Rep2	OSD-314	microgravity	1	26.160435	-8.722024	2
GLDS-314_rna_seq_JBH2_WT_RED_Col0_0g_Rep1	OSD-314	microgravity	1	26.887842	-8.579468	2
GLDS-314_rna_seq_JBA3_WT_RED_Col0_0g_Rep2	OSD-314	microgravity	1	26.702164	-8.739886	2
GLDS-314_rna_seq_JBB3_WT_RED_Col0_0g_Rep3	OSD-314	microgravity	1	26.674484	-8.772873	2
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13_GLbulkRNAseq	OSD-120	ground_control	0	11.529465	23.826843	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	ground_control	0	12.207383	24.32262	0
