test_study	n_train	n_test	auc	accuracy	f1	model
OSD-314	182	17	0.6666666666666666	0.6470588235294118	0.7857142857142857	RF
OSD-314	182	17	0.43939393939393945	0.6470588235294118	0.7857142857142857	GBM
OSD-314	182	17	0.5	0.6470588235294118	0.7692307692307693	XGBoost
OSD-120	163	36	0.537037037037037	0.5555555555555556	0.6666666666666666	RF
OSD-120	163	36	0.30864197530864196	0.3333333333333333	0.42857142857142855	GBM
OSD-120	163	36	0.4320987654320988	0.5555555555555556	0.6521739130434783	XGBoost
OSD-37	143	56	0.33099489795918363	0.5	0.6666666666666666	RF
OSD-37	143	56	0.47959183673469385	0.4642857142857143	0.3181818181818182	GBM
OSD-37	143	56	0.42857142857142855	0.48214285714285715	0.43137254901960786	XGBoost
OSD-678	163	36	0.3734567901234568	0.4444444444444444	0.5454545454545454	RF
OSD-678	163	36	0.3858024691358024	0.4166666666666667	0.4	GBM
OSD-678	163	36	0.3580246913580247	0.3611111111111111	0.3783783783783784	XGBoost
OSD-658	185	14	0.47916666666666663	0.5714285714285714	0.7272727272727273	RF
OSD-658	185	14	0.625	0.6428571428571429	0.6666666666666666	GBM
OSD-658	185	14	0.5416666666666666	0.7142857142857143	0.8	XGBoost
OSD-476	179	20	0.6354166666666667	0.6	0.75	RF
OSD-476	179	20	0.4479166666666667	0.5	0.6153846153846154	GBM
OSD-476	179	20	0.4270833333333333	0.5	0.6153846153846154	XGBoost
OSD-251	179	20	0.43137254901960786	0.65	0.7878787878787878	RF
OSD-251	179	20	0.27450980392156865	0.4	0.5714285714285714	GBM
OSD-251	179	20	0.19607843137254904	0.45	0.6206896551724138	XGBoost
