sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-314_rna_seq_21H5_WT_RED_Col0_1g_Rep1	OSD-314	0	-12.053317	-18.913324	6
GLDS-314_rna_seq_22A6_WT_RED_Col0_1g_Rep2	OSD-314	0	-12.109015	-18.65253	6
GLDS-314_rna_seq_23B6_WT_RED_Col0_1g_Rep3	OSD-314	0	-12.040482	-18.827688	6
GLDS-314_rna_seq_30H7_WT_DARK_Col0_1g_Rep1	OSD-314	0	-12.262074	-18.74281	6
GLDS-314_rna_seq_31A8_WT_DARK_Col0_1g_Rep2	OSD-314	0	-12.019713	-19.000162	6
GLDS-314_rna_seq_32B8_WT_DARK_Col0_1g_Rep3	OSD-314	0	-11.960696	-18.508947	6
GLDS-314_rna_seq_05G4_WT_RED_Col0_03g_Rep1	OSD-314	1	-12.231113	-18.808376	6
GLDS-314_rna_seq_06H4_WT_RED_Col0_03g_Rep2	OSD-314	1	-12.136984	-18.729172	6
GLDS-314_rna_seq_07A5_WT_RED_Col0_03g_Rep3	OSD-314	1	-12.083517	-18.935272	6
GLDS-314_rna_seq_13I4_WT_DARK_Col0_03g_Rep1	OSD-314	1	-12.285878	-18.852873	6
GLDS-314_rna_seq_14J4_WT_DARK_Col0_03g_Rep2	OSD-314	1	-11.693885	-18.3845	2
GLDS-314_rna_seq_15A7_WT_DARK_Col0_03g_Rep3	OSD-314	1	-12.099358	-18.770596	6
GLDS-314_rna_seq_JBA1_WT_DARK_Col0_0g_Rep1	OSD-314	1	-12.067956	-18.582716	6
GLDS-314_rna_seq_JBB1_WT_DARK_Col0_0g_Rep2	OSD-314	1	-11.714925	-18.634104	6
GLDS-314_rna_seq_JBH2_WT_RED_Col0_0g_Rep1	OSD-314	1	-12.39764	-18.606546	6
GLDS-314_rna_seq_JBA3_WT_RED_Col0_0g_Rep2	OSD-314	1	-12.206832	-18.99758	6
GLDS-314_rna_seq_JBB3_WT_RED_Col0_0g_Rep3	OSD-314	1	-11.8527775	-18.875032	6
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13_GLbulkRNAseq	OSD-120	0	-12.283442	23.240505	4
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	0	-12.071347	23.365627	4
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13_GLbulkRNAseq	OSD-120	0	-12.122497	23.473774	4
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13_GLbulkRNAseq	OSD-120	0	-11.7864485	23.789034	4
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13_GLbulkRNAseq	OSD-120	0	-11.95164	23.904854	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13_GLbulkRNAseq	OSD-120	0	-11.844119	23.758999	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13_GLbulkRNAseq	OSD-120	0	-12.171519	23.427927	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13_GLbulkRNAseq	OSD-120	0	-12.2390375	23.302046	4
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13_GLbulkRNAseq	OSD-120	0	-12.26683	23.081081	4
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13_GLbulkRNAseq	OSD-120	0	-12.138624	23.381868	4
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13_GLbulkRNAseq	OSD-120	0	-11.817499	23.259783	4
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13_GLbulkRNAseq	OSD-120	0	-12.1281395	23.594013	4
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13_GLbulkRNAseq	OSD-120	0	-11.639839	23.497543	4
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13_GLbulkRNAseq	OSD-120	0	-11.471875	23.841768	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13_GLbulkRNAseq	OSD-120	0	-11.511984	23.763227	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13_GLbulkRNAseq	OSD-120	0	-11.810783	23.688536	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13_GLbulkRNAseq	OSD-120	0	-11.998084	23.0563	4
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13_GLbulkRNAseq	OSD-120	1	-12.403105	23.375954	4
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13_GLbulkRNAseq	OSD-120	1	-12.383006	23.777477	4
