ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	event_type	dPSI	event_id	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd
0	AT4G40010	SRK2F	chr4	-	18550135.0	18550237.0	18550002.0	18550056.0	18550771.0	18550846.0	0	85,142,27,37,39,80,39,59,37,42,11,9,13,3,24,10,35,52,0,36,89,47,38,72,63,119,1,12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0	160,149,184,189,130,258,281,238,170,155,25,25,34,29,61,96,104,15,18,11,118,81,134,72,17,23,97,16	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.937,1.0,1.0,0.923,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.005	SE	-0.005	SE_chr4_-_18550135-18550237-18550002-18550056-18550771-18550846												
1	AT4G39970		chr4	-	18537427.0	18537461.0	18537272.0	18537328.0	18537545.0	18537620.0	1	38,62,39,4,49,18,35,50,6,59,22,28,72,2,33,2,69,67,0,72,12,3,7,7,3,13,0,8	0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,31,34,12,4,9,31,29,13,26,12,32,8,2,3,9,26,14,15,11,18,13,29,17,0,2,10,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	83	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.972,1.0,1.0,0.977,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	-0.002	SE	-0.002	SE_chr4_-_18537427-18537461-18537272-18537328-18537545-18537620												
2	AT4G39900		chr4	-	18509731.0	18509840.0	18509558.0	18509629.0	18510268.0	18510555.0	2	349,415,280,125,231,158,111,236,138,233,473,273,357,23,284,297,356,778,7,717,159,132,156,150,210,300,229,381	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0	189,654,229,172,209,215,462,334,389,239,156,373,149,109,151,116,242,144,105,119,374,392,737,321,52,270,609,186	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr4_-_18509731-18509840-18509558-18509629-18510268-18510555												
3	AT4G39850	PXA1	chr4	+	18491413.0	18491492.0	18491202.0	18491338.0	18491977.0	18492216.0	3	89,173,107,42,80,76,47,93,33,76,68,89,70,21,43,80,82,262,16,143,104,70,99,75,133,183,145,109	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	92,127,225,109,134,129,247,149,167,79,45,73,71,41,71,51,100,32,45,46,150,183,350,100,10,92,306,24	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.002	SE	0.002	SE_chr4_+_18491413-18491492-18491202-18491338-18491977-18492216												
4	AT4G39850	PXA1	chr4	+	18492692.0	18492804.0	18492306.0	18492611.0	18492881.0	18493037.0	4	109,302,91,41,99,70,64,119,47,83,48,72,78,7,124,36,107,255,25,164,149,104,84,109,170,141,80,100	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0	115,206,238,151,173,143,253,230,231,138,42,74,91,59,69,65,164,32,70,44,183,215,433,126,38,77,267,77	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr4_+_18492692-18492804-18492306-18492611-18492881-18493037												
5	AT4G39850	PXA1	chr4	+	18492881.0	18493037.0	18492692.0	18492804.0	18493316.0	18493416.0	5	139,396,133,44,134,97,79,199,54,108,58,69,68,0,111,21,101,175,37,129,148,134,93,127,184,171,53,93	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	124,264,273,186,202,185,359,266,260,232,35,73,94,74,86,98,138,44,66,34,230,230,618,128,26,112,356,100	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr4_+_18492881-18493037-18492692-18492804-18493316-18493416												
6	AT4G39850	PXA1	chr4	+	18496356.0	18496409.0	18496114.0	18496278.0	18496495.0	18496574.0	6	91,174,87,47,76,62,61,109,56,83,33,48,81,5,64,19,67,122,27,61,104,107,92,71,119,107,19,71	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	125,134,226,109,155,108,219,120,147,168,36,47,83,33,60,40,103,29,38,27,135,158,338,163,9,78,249,77	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,0.974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.001	SE	-0.001	SE_chr4_+_18496356-18496409-18496114-18496278-18496495-18496574												
7	AT4G39790		chr4	-	18463260.0	18463481.0	18462961.0	18463185.0	18463552.0	18463633.0	7	0,13,3,3,1,0,8,1,1,4,1,2,1,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	2,6,8,9,8,4,7,5,0,1,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,0.0,NA,1.0,1.0,NA,NA,1.0,NA,NA	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,1.0,NA	-0.062	SE	-0.062	SE_chr4_-_18463260-18463481-18462961-18463185-18463552-18463633												
8	AT4G39690		chr4	+	18420756.0	18420834.0	18420287.0	18420407.0	18420945.0	18421125.0	8	50,107,23,17,20,41,27,38,27,42,15,35,20,8,21,8,16,24,11,26,64,54,38,37,78,73,12,15	0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0	49,62,69,49,41,48,68,91,80,61,15,28,32,33,18,26,49,19,38,8,74,77,149,36,13,31,62,21	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,0.953,1.0,1.0,0.871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.902,0.975,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0	-0.01	SE	-0.01	SE_chr4_+_18420756-18420834-18420287-18420407-18420945-18421125												
10	AT4G39420		chr4	+	18339715.0	18339902.0	18339126.0	18339513.0	18343003.0	18343126.0	10	72,171,101,68,71,64,53,93,35,70,126,89,90,14,74,107,103,249,25,197,111,76,73,86,166,154,130,153	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	94,201,157,145,136,120,189,178,269,169,66,73,68,47,95,19,108,52,46,53,244,167,539,137,24,83,351,49	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98	49	1.0	1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.001	SE	0.001	SE_chr4_+_18339715-18339902-18339126-18339513-18343003-18343126												
